  Grid,   Temperature,   Uvec,   CO,    CO2
   0.000e+00,   3.000e+02,   3.516e-01,   4.128e-11,   2.311e-12
   1.202e-03,   3.000e+02,   3.516e-01,   8.802e-10,   6.402e-11
   2.404e-03,   3.000e+02,   3.516e-01,   1.877e-08,   1.771e-09
   3.005e-03,   3.000e+02,   3.517e-01,   1.640e-07,   1.969e-08
   3.606e-03,   3.001e+02,   3.519e-01,   1.785e-06,   2.764e-07
   3.907e-03,   3.005e+02,   3.525e-01,   8.762e-06,   1.686e-06
   4.057e-03,   3.015e+02,   3.538e-01,   2.548e-05,   5.897e-06
   4.207e-03,   3.046e+02,   3.577e-01,   8.402e-05,   2.392e-05
   4.358e-03,   3.147e+02,   3.702e-01,   2.839e-04,   9.894e-05
   4.433e-03,   3.280e+02,   3.863e-01,   5.577e-04,   2.218e-04
   4.508e-03,   3.547e+02,   4.184e-01,   1.118e-03,   5.131e-04
   4.546e-03,   3.771e+02,   4.453e-01,   1.611e-03,   8.017e-04
   4.583e-03,   4.087e+02,   4.834e-01,   2.319e-03,   1.256e-03
   4.621e-03,   4.518e+02,   5.352e-01,   3.304e-03,   1.944e-03
   4.640e-03,   4.786e+02,   5.674e-01,   3.945e-03,   2.421e-03
   4.658e-03,   5.093e+02,   6.044e-01,   4.696e-03,   3.005e-03
   4.677e-03,   5.441e+02,   6.463e-01,   5.566e-03,   3.711e-03
   4.696e-03,   5.830e+02,   6.933e-01,   6.564e-03,   4.554e-03
   4.715e-03,   6.261e+02,   7.453e-01,   7.697e-03,   5.549e-03
   4.733e-03,   6.733e+02,   8.024e-01,   8.973e-03,   6.710e-03
   4.752e-03,   7.245e+02,   8.644e-01,   1.040e-02,   8.052e-03
   4.771e-03,   7.795e+02,   9.311e-01,   1.198e-02,   9.590e-03
   4.790e-03,   8.381e+02,   1.002e+00,   1.371e-02,   1.134e-02
   4.809e-03,   9.000e+02,   1.077e+00,   1.560e-02,   1.331e-02
   4.832e-03,   9.831e+02,   1.178e+00,   1.821e-02,   1.613e-02
   4.856e-03,   1.070e+03,   1.285e+00,   2.106e-02,   1.935e-02
   4.868e-03,   1.115e+03,   1.339e+00,   2.258e-02,   2.115e-02
   4.880e-03,   1.160e+03,   1.395e+00,   2.416e-02,   2.306e-02
   4.892e-03,   1.206e+03,   1.451e+00,   2.577e-02,   2.509e-02
   4.904e-03,   1.252e+03,   1.507e+00,   2.741e-02,   2.723e-02
   4.928e-03,   1.343e+03,   1.618e+00,   3.065e-02,   3.177e-02
   4.940e-03,   1.387e+03,   1.672e+00,   3.225e-02,   3.422e-02
   4.952e-03,   1.430e+03,   1.725e+00,   3.378e-02,   3.677e-02
   4.964e-03,   1.472e+03,   1.776e+00,   3.522e-02,   3.941e-02
   4.976e-03,   1.511e+03,   1.824e+00,   3.652e-02,   4.212e-02
   4.982e-03,   1.530e+03,   1.848e+00,   3.712e-02,   4.350e-02
   4.988e-03,   1.548e+03,   1.870e+00,   3.767e-02,   4.491e-02
   4.994e-03,   1.566e+03,   1.891e+00,   3.816e-02,   4.632e-02
   5.000e-03,   1.583e+03,   1.912e+00,   3.861e-02,   4.774e-02
   5.010e-03,   1.609e+03,   1.943e+00,   3.921e-02,   5.007e-02
   5.020e-03,   1.633e+03,   1.973e+00,   3.965e-02,   5.242e-02
   5.039e-03,   1.674e+03,   2.023e+00,   4.001e-02,   5.709e-02
   5.059e-03,   1.708e+03,   2.063e+00,   3.971e-02,   6.170e-02
   5.068e-03,   1.722e+03,   2.080e+00,   3.935e-02,   6.397e-02
   5.078e-03,   1.735e+03,   2.095e+00,   3.886e-02,   6.620e-02
   5.098e-03,   1.756e+03,   2.119e+00,   3.754e-02,   7.049e-02
   5.117e-03,   1.772e+03,   2.137e+00,   3.594e-02,   7.453e-02
   5.137e-03,   1.786e+03,   2.152e+00,   3.422e-02,   7.830e-02
   5.156e-03,   1.797e+03,   2.164e+00,   3.247e-02,   8.178e-02
   5.176e-03,   1.807e+03,   2.174e+00,   3.077e-02,   8.496e-02
   5.195e-03,   1.816e+03,   2.183e+00,   2.918e-02,   8.785e-02
   5.234e-03,   1.831e+03,   2.198e+00,   2.636e-02,   9.279e-02
   5.312e-03,   1.858e+03,   2.225e+00,   2.220e-02,   9.988e-02
   5.391e-03,   1.880e+03,   2.247e+00,   1.936e-02,   1.047e-01
   5.469e-03,   1.899e+03,   2.267e+00,   1.738e-02,   1.080e-01
   5.625e-03,   1.930e+03,   2.299e+00,   1.505e-02,   1.119e-01
   5.781e-03,   1.955e+03,   2.325e+00,   1.358e-02,   1.143e-01
   5.938e-03,   1.975e+03,   2.346e+00,   1.251e-02,   1.160e-01
   6.250e-03,   2.005e+03,   2.378e+00,   1.101e-02,   1.184e-01
   6.563e-03,   2.027e+03,   2.401e+00,   9.833e-03,   1.203e-01
   6.875e-03,   2.044e+03,   2.419e+00,   8.868e-03,   1.218e-01
   7.500e-03,   2.067e+03,   2.443e+00,   7.435e-03,   1.241e-01
   8.750e-03,   2.093e+03,   2.469e+00,   5.697e-03,   1.269e-01
   1.000e-02,   2.108e+03,   2.484e+00,   4.596e-03,   1.286e-01
   1.250e-02,   2.123e+03,   2.499e+00,   3.508e-03,   1.303e-01
   1.500e-02,   2.130e+03,   2.506e+00,   2.945e-03,   1.312e-01
   2.000e-02,   2.136e+03,   2.511e+00,   2.552e-03,   1.318e-01
   2.100e-02,   2.136e+03,   2.511e+00,   2.552e-03,   1.318e-01
